,Application:, Trigno Discover (1.6.5),Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
0,Date/Time:, 28/01/2025 14:43:53,,,,,
1,Collection Length (seconds):,44.6985,,,,,
2,wrist (81457), , , , , , bicep (81139)
3,sensor mode: 609, , , , , , sensor mode: 40
4,ACC X (G), ACC Y (G), ACC Z (G), GYRO X (deg/s), GYRO Y (deg/s), GYRO Z (deg/s), EMG 1 (mV)
5,370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 2148.1481 Hz
149,-0.8525391,0.4208984,0.1367188,-14.5731707,-14.5731707,5.3048782,-0.0379339
150,-0.8520508,0.421875,0.1391602,-14.3292685,-14.6341467,5.2439027,-0.0379339
151,-0.8486328,0.4282227,0.1503906,-13.841464,-14.6951227,4.8780489,-0.0386053
152,-0.8500977,0.4291992,0.1533203,-13.4756098,-14.3292685,4.3292685,-0.0379339
153,-0.8540039,0.4394531,0.1494141,-13.7195129,-14.0853662,3.7804878,-0.0419623
154,-0.8564453,0.4448242,0.1479492,-13.6585369,-13.5975609,3.9634147,-0.0412909
155,-0.855957,0.4487305,0.1435547,-14.2682934,-13.3536587,3.9634147,-0.0426337
156,-0.8588867,0.4477539,0.1411133,-14.5731707,-13.0487804,3.8414636,-0.0439765
157,-0.8608398,0.4389648,0.1479492,-15,-12.6829271,4.0243902,-0.0446479
158,-0.8647461,0.4306641,0.1455078,-15.2439032,-12.8048782,4.0853658,-0.0426337
159,-0.8686523,0.434082,0.1450195,-14.2682934,-12.4390249,3.5975611,-0.0419623
160,-0.8730469,0.4370117,0.1445312,-13.7195129,-12.6219511,3.5975611,-0.0433051
161,-0.8740234,0.4355469,0.1459961,-12.9268293,-12.9878054,3.4756098,-0.0419623
162,-0.8706055,0.4448242,0.1503906,-12.560976,-12.8048782,3.0487804,-0.0433051
163,-0.8764648,0.4433594,0.1518555,-12.5,-12.7439032,3.0487804,-0.0463264
164,-0.8735352,0.4433594,0.1474609,-12.1341467,-12.7439032,3.2317073,-0.0493477
165,-0.8725586,0.4477539,0.1474609,-12.3170738,-12.7439032,3.1097562,-0.0513619
166,-0.8623047,0.4467773,0.1660156,-12.8658543,-13.0487804,3.1097562,-0.049012
167,-0.8603516,0.4443359,0.1704102,-13.1097565,-12.8658543,2.8658538,-0.0493477
168,-0.8598633,0.4384766,0.1660156,-13.1707315,-12.1951218,2.6829269,-0.0506905
169,-0.8613281,0.440918,0.1757812,-13.1097565,-11.9512196,2.804878,-0.0426337
170,-0.8642578,0.4423828,0.1728516,-12.1951218,-12.2560978,2.804878,-0.0436408
171,-0.8681641,0.4467773,0.1621094,-11.6463413,-11.9512196,2.7439024,-0.0459907
172,-0.8759766,0.4506836,0.1552734,-10.5487804,-11.8292685,2.5609756,-0.0446479
173,-0.887207,0.4511719,0.1435547,-9.8780489,-12.3780489,2.5609756,-0.0473335
174,-0.8823242,0.4472656,0.1367188,-9.8170738,-12.2560978,3.1707318,-0.0459907
175,-0.871582,0.4394531,0.1381836,-9.4512196,-12.8658543,3.1097562,-0.0459907
176,-0.8603516,0.4375,0.1401367,-9.4512196,-12.9878054,3.1707318,-0.0466621
177,-0.8544922,0.4365234,0.1479492,-8.2926826,-12.9878054,2.3780489,-0.0446479
178,-0.8500977,0.440918,0.1499023,-8.0487804,-12.8048782,2.3780489,-0.0426337
179,-0.8427734,0.4555664,0.1523438,-7.6219516,-12.9268293,2.7439024,-0.0466621
180,-0.8417969,0.4628906,0.15625,-7.9878049,-12.6219511,2.3170731,-0.0486763
181,-0.8383789,0.4682617,0.1552734,-8.5365858,-12.4390249,2.3780489,-0.0453193
182,-0.8476562,0.4619141,0.1362305,-8.6585369,-12.1341467,2.804878,-0.0480049
183,-0.8398438,0.4555664,0.1323242,-9.3902445,-12.1951218,3.4146342,-0.0433051
184,-0.8398438,0.440918,0.1401367,-10.060976,-11.9512196,3.4756098,-0.0459907
185,-0.8369141,0.4350586,0.1479492,-9.8780489,-12.0731707,3.1707318,-0.0439765
186,-0.8364258,0.4311523,0.1542969,-8.9024391,-11.7073174,2.8658538,-0.0453193
187,-0.8378906,0.4331055,0.1557617,-8.4756098,-11.7073174,2.9268293,-0.0473335
188,-0.84375,0.4399414,0.1557617,-7.8658538,-11.341464,2.8658538,-0.0513619
189,-0.8496094,0.4487305,0.1538086,-7.8658538,-10.8536587,2.804878,-0.0493477
190,-0.859375,0.4521484,0.1499023,-8.2317076,-10.6097565,2.9878049,-0.0486763
191,-0.8691406,0.4536133,0.1523438,-8.5365858,-10.7317076,3.1707318,-0.0459907
192,-0.8710938,0.4516602,0.1523438,-8.9634151,-10.6097565,3.4146342,-0.0473335
193,-0.8730469,0.4492188,0.1591797,-9.1463413,-10.6097565,3.5365853,-0.0476692
194,-0.8754883,0.4448242,0.1606445,-9.5731707,-10.3658543,3.2926829,-0.0486763
195,-0.8764648,0.4370117,0.1679688,-10.060976,-10.060976,3.4146342,-0.0473335
196,-0.878418,0.4287109,0.1733398,-10.1219511,-9.9390249,3.2317073,-0.0480049
197,-0.8764648,0.4189453,0.1826172,-8.9024391,-9.5731707,3.4146342,-0.0446479
198,-0.8779297,0.4194336,0.1845703,-8.4146347,-9.9390249,3.4146342,-0.0412909
199,-0.8759766,0.4257812,0.1904297,-7.0731707,-9.9390249,3.2926829,-0.0409552
200,-0.8847656,0.4404297,0.1865234,-6.0975609,-9.7560978,3.1097562,-0.0433051
201,-0.887207,0.4501953,0.1899414,-5.0609756,-9.4512196,3.3536587,-0.0433051
202,-0.8833008,0.4682617,0.1801758,-4.390244,-9.6341467,3.0487804,-0.042298
203,-0.8808594,0.4707031,0.1733398,-4.7560978,-9.6951218,3.1097562,-0.0426337
204,-0.8803711,0.4692383,0.1694336,-5.0609756,-9.6951218,3.1707318,-0.0412909
205,-0.8823242,0.4648438,0.1708984,-5.1829271,-9.3292685,3.4146342,-0.0379339
206,-0.8740234,0.4506836,0.1767578,-5.7926831,-9.2682924,3.9024391,-0.0359197
207,-0.8706055,0.4467773,0.1816406,-5.2439027,-9.3902445,4.0853658,-0.0386053
208,-0.8745117,0.4423828,0.1992188,-4.2073174,-9.2682924,4.0853658,-0.0412909
209,-0.8808594,0.4404297,0.203125,-3.5365853,-9.3292685,3.9634147,-0.0406195
210,-0.8857422,0.453125,0.1948242,-2.2560976,-8.9024391,3.9634147,-0.0379339
211,-0.8935547,0.4633789,0.184082,-1.5243902,-9.0853662,4.0853658,-0.0392767
212,-0.8955078,0.4672852,0.1772461,-0.0609756,-9.6341467,4.6951222,-0.0436408
213,-0.8911133,0.4672852,0.1733398,-0.0609756,-9.9390249,4.7560978,-0.0409552
214,-0.8847656,0.4614258,0.1660156,1.0365853,-10.8536587,5,-0.0419623
215,-0.878418,0.4672852,0.1469727,1.5243902,-10.9756098,5.3658538,-0.0426337
216,-0.8706055,0.4716797,0.1411133,2.195122,-11.1585369,5.8536587,-0.0419623
217,-0.8618164,0.4785156,0.1401367,2.4390244,-11.5243902,5.609756,-0.0433051
218,-0.8574219,0.4765625,0.1411133,2.5609756,-11.7073174,5.3048782,-0.0446479
219,-0.855957,0.4887695,0.1411133,2.804878,-11.280488,5.3658538,-0.0459907
220,-0.8564453,0.4995117,0.1416016,2.6219513,-11.7073174,5.4878049,-0.0466621
221,-0.8588867,0.5112305,0.140625,2.3780489,-11.4634151,5.5487804,-0.0449836
222,-0.8720703,0.5151367,0.1416016,2.1341465,-11.219512,5.7317076,-0.0473335
223,-0.8730469,0.5117188,0.1479492,0.8536586,-11.7073174,6.4024391,-0.0500191
224,-0.8759766,0.4985352,0.1611328,-0.1219512,-12.0121956,6.7073174,-0.0500191
225,-0.875,0.484375,0.1679688,-0.7317073,-12.1951218,7.1341467,-0.0500191
226,-0.8725586,0.4628906,0.1743164,-0.8536586,-12.560976,7.5609756,-0.0520333
227,-0.8696289,0.4560547,0.1777344,-0.5487805,-12.3780489,7.5,-0.0527047
228,-0.8710938,0.4506836,0.1835938,0.7926829,-12.4390249,7.1951222,-0.0486763
229,-0.8759766,0.4550781,0.1787109,1.1585366,-12.3170738,7.0731707,-0.0466621
230,-0.8808594,0.4609375,0.1743164,2.5609756,-12.8048782,7.0121951,-0.0449836
231,-0.8740234,0.4633789,0.1791992,3.0487804,-13.0487804,7.3780489,-0.0419623
232,-0.8735352,0.4746094,0.1801758,4.1463413,-13.2317076,7.0731707,-0.0433051
233,-0.8637695,0.4897461,0.1762695,4.5121951,-13.2926836,7.1341467,-0.0433051
234,-0.8618164,0.4951172,0.1713867,4.5121951,-13.2317076,7.5609756,-0.0446479
235,-0.8579102,0.5014648,0.1708984,4.2682929,-13.4146347,7.6219516,-0.0459907
236,-0.8540039,0.4970703,0.168457,3.1097562,-13.7195129,7.9878049,-0.0446479
237,-0.8510742,0.487793,0.1650391,2.8658538,-13.2926836,8.1707315,-0.0439765
238,-0.847168,0.4819336,0.1655273,1.5853659,-13.4146347,9.0853662,-0.0466621
